PATH,DIRECTORY,FILENAME,EXTENSION,BYTES,MTIME,MODDATE,MD5,SHA1,SHA256
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0201.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0201.pdf,PDF,568384,1488815250,2017-03-06T10:47:30,5d7838369e6de28b5169b6889f293c05,a9ff9d9f7ba51b3e00aff2738a03d6baaca1f6ef,b27e13a42b7dcd07633a0dec75b3336b92e2e2f6e3b6603117a12b6e21c3d439
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0215.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0215.pdf,PDF,283486,1488815264,2017-03-06T10:47:44,87c6b1728cce74ef2bb91d39f616e8e3,47b00187a87ef89a0c8f2bb279d89f341f319945,40edb40120d366e624fb8587b2b03928c6f7580757da91cbff6e7e2de3a57b79
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0229.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0229.pdf,PDF,307197,1488815279,2017-03-06T10:47:59,fb2f8e7ce7ff7011172ad94ad3f71784,bd74b2f996014f584f7b7e5aa70491f8e4de4e9f,32e215cd9ea2ef8f4ab46a7ab4ca60805e05bad2f4f46199e06acf8d85b0c7c7
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0228.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0228.pdf,PDF,367055,1488815278,2017-03-06T10:47:58,1ca4acc1814075ae9125c9e78993c653,f6260b2ed82dd867180ccbca04f83f5bea632c99,ff8f186013263b75f1f7bc2cfbd18f73513881895a51b8aafd1226249bfe38e1
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0214.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0214.pdf,PDF,300007,1488815263,2017-03-06T10:47:43,f623c30fe211cb2dfbd55a8987642a6f,94cab2d68892ddb09da430ffc97fc5e1c34e715a,f48c41d970c5b58f1dbc3b0da7722a66062fb33fdab08c9153c0c42782304f60
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0200.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0200.pdf,PDF,436975,1488815248,2017-03-06T10:47:28,120dba2448f480a5e2f1d2db80477a7b,0445f9db891bf8ab05466fa8b68fbc700a885441,3c2ea210f137eab00c89e361dfee52fd57fb9f139afd54e132d22b00a3fa68dc
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0216.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0216.pdf,PDF,274943,1488815265,2017-03-06T10:47:45,76c0b6e9ec20418c628a57c8c7781972,bb26b6238e5047b641784a177c279885ff9174c7,7bc710d45ef2b681f1f0bc19f6efb3bb1acbaa539b492d856315c5ba621f23a2
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0202.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0202.pdf,PDF,470260,1488815251,2017-03-06T10:47:31,c25a0630c1b1ab96154a8bcee0617ec3,d33464698464847abf82596016c3a991858d7dd5,c20f08b8004879bd2d71d8eefcb10e1b2bf96fc6896a8ccdf6d86f7e110933ca
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0203.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0203.pdf,PDF,488057,1488815252,2017-03-06T10:47:32,f708af46dac48db8d3a43537d7c5df16,468a43ca126657b8717a255f77baf5e03ecb0622,0ddd7214f55e31714b467df2102cf206030cebd4a1a941207524434684f0decd
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0217.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0217.pdf,PDF,307565,1488815266,2017-03-06T10:47:46,33210e7287ae4df51b7ebe4775fbb687,3c6270a5fe0e0dde34f79b492ddfc092944dc013,78e12b3bf6489ea6c7397edd39d46b8f9e3661a8fd4e7fa13a2c0a22e5e5a1d8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0258.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0258.pdf,PDF,295315,1488815358,2017-03-06T10:49:18,922238988280dfa6728dacd367a87857,61857ce2d37cd7ea47c2ad695b05141c1ae9bed0,9b295c259aedc8384d5327fc2bd003d48b20d8c3df09a6472263cc616ad50113
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0270.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0270.pdf,PDF,570682,1488815391,2017-03-06T10:49:51,26b079639cf4d80aba4629494204e911,e319e68f7d6fda20c9ad8f866aea15a96a93e0c5,418eba8ff4c5f5b8c1458ab927e39025dae8130e755c66754487d7addcf282e8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0264.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0264.pdf,PDF,601210,1488815376,2017-03-06T10:49:36,22ee3bd83815a07e38c00dab6e6df3df,64971d0504ad199f87894a0fd17fcba35a0cea86,634fd50dff5b08e31f952a5f2c514fa3b7fd4ef02b754edff9d65bd82230d08b
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0265.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0265.pdf,PDF,518863,1488815377,2017-03-06T10:49:37,135be53fe480ce0cb47eb57d68f0e463,07bd0a29c8faa029f09b4f7e6a2b68e7c1f3184c,9ddc70f73e7c48a9d571eadc5b48371d53f0319d79f3f196081e7f99989c86dc
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0271.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0271.pdf,PDF,335954,1488815392,2017-03-06T10:49:52,7a4c415981d3a833670abe467030d8a9,4ed0d5f8f6f9c286e3929bcd9a5f902ae15853a6,ca328abc2558e75971cee483b471ed3539a9b9675e3eef907eb95047414ff8c8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0259.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0259.pdf,PDF,440846,1488815361,2017-03-06T10:49:21,97bca4215486c8b12dd76bfaed01d571,4ec140e8f2e844bea77ada1831018c592693679a,b36b93f683de45cde2f77c4a4420694394a585a401150f9075962343e630816e
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0298.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0298.pdf,PDF,537256,1488815455,2017-03-06T10:50:55,d675e6def0c04ad456e1d27ec7df7f71,436f1aa190bb597262fea66bf4d80269cc896ae8,138c33081b47aea2fda8bb8e95513cb0bccb5bf81131df02b3feba820f0855d9
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0267.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0267.pdf,PDF,363222,1488815382,2017-03-06T10:49:42,4b46f5d564e93d9df95a0581adbd5aa6,eb1793898ef34907ae58e3c9fceecc1edca1d29d,2b74b37b8a7a42498d4feac923e1f05e3203d1890bb1994da728dccc4060c068
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0273.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0273.pdf,PDF,323974,1488815396,2017-03-06T10:49:56,cc30f142d64ab70095ce1c46b5018280,6263402b93ffb6bcf5148bd80d3ad3b34a102202,6b4656838453c95c423c1c00883f578f6400a1732dd5df9843cf4f18af61083c
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0272.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0272.pdf,PDF,618756,1488815394,2017-03-06T10:49:54,f7fc8114f0c7ef09924d2b04e545679b,d3128627dcc7db05d3f229fd5d70ce372a5fd8f4,2d45a2fc5960668137a8432a4502da9cb92367b4abe97b7becfc7ddd03f3fd9f
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0266.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0266.pdf,PDF,441659,1488815380,2017-03-06T10:49:40,2fc33f14fd65c23ac4fbbe3a39c23d6d,2cca7f3ecbd6d77b040af7a32a4042cb1c62c9bb,ff3d9d2e1940a89914944c0e65aa83c01dee4fca4a5619ef5d1e34779b9d4567
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0299.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0299.pdf,PDF,396015,1488815457,2017-03-06T10:50:57,14b4129c52368d8dee39f43c5fd4b36d,5347d385434184b8b680e62d4de0e048971eab18,3e0aaa93db91b1cef8b479f79f0fbbdd101ff08897b3dbf91630283bd1a36a51
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0289.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0289.pdf,PDF,434501,1488815436,2017-03-06T10:50:36,704759793373d889083956d92d95d14b,02b02d1b25f801d69bb513168822121fe56ac164,64892e641c42a212eea5db6e8c407c7a7a29a7cbfd1ea2117e9e4ad761086289
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0262.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0262.pdf,PDF,432396,1488815369,2017-03-06T10:49:29,e174abee6cf67816f21cf734e7c1ccf1,c16d6df87cb661cbe93315df179b268cb05ca245,a8b86990b718a9b2f3ebf0643106bd7879774e2078069132920f029314a1dba7
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0276.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0276.pdf,PDF,461346,1488815404,2017-03-06T10:50:04,32d93c62b205667c395a0225dc4b4b83,f2dd9374db10aa651ae4c9e452989b3655e9492f,3876095fc75cbbfe5b715bcbbdf3d5f14bce332f521aa015aaad3fad1f41bd9f
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0277.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0277.pdf,PDF,533111,1488815407,2017-03-06T10:50:07,9be0eb69f61879300fc7462b38922a7e,8f14e845df42934945a65bffb3ddc07aa0e2c013,bcdb4b3e79e7b3c77be0d87798e44e7acc13d3664d9e29829e300c352f3cfcca
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0263.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0263.pdf,PDF,437697,1488815370,2017-03-06T10:49:30,4cb1e36d6cad4b4f3ee20c3ff9d4fe26,1aaee5fe8fd10167c422e4858f5150a2326e9947,4b331a6684e7ba6a81e263a11a1cc40ff849477c0189d91df814c32258380019
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0288.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0288.pdf,PDF,409714,1488815435,2017-03-06T10:50:35,ae24359d1635ae637860a0681b410021,7f58f5c727b05e42a3507b379a1a5f0603b2a41a,393f980bfeaa3859881c26ecaf8385c8c0a76be4d986c63202726dd66dcd75e7
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0275.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0275.pdf,PDF,385089,1488815400,2017-03-06T10:50:00,bd2686ce850ead5c6d1ec5d61dc3504c,92987e091dd203e84bb854e9bc876fb3303ba9f4,0a36fec2ac0608dc5361a41c59bb2aa4581dad25131f8ecb8565015e2967135f
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0261.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0261.pdf,PDF,431181,1488815367,2017-03-06T10:49:27,108da293777cf2465ddc243a715ddb2c,928d8f7983abdc973172a22d82fa102e67af3c51,cbb32da3d5596da9b689f0497f53144cd713782a07959bc21715f00e343989b2
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0249.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0249.pdf,PDF,633489,1488815341,2017-03-06T10:49:01,85a3b01c607b9fba6650b6b751fed2a2,7b064bba52b232e3756c3adbd3e9aabf6a690f1c,38aff51eafaf517af8e1ad8a371a5631356acff88c1d267bf8f8e6e734b66b60
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0248.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0248.pdf,PDF,438571,1488815337,2017-03-06T10:48:57,8d6ac43dc02ff596268b80c7eb6c9a62,43118d5bd067a1188d2c005b69fa4ec6978ceba4,c1edf52255290be271be03dbe9c575f15b79fe49b078e809ead4ce6707a78ef6
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0260.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0260.pdf,PDF,590799,1488815364,2017-03-06T10:49:24,3c1a6d90ded8a570b08736c47c0f0a05,f97dfd3c3bedbd0541f29676dd5911fe7afc19be,84a92f2151fc60ca8e8e9c9cb3f8359af746857547509ceb4f4bf5c38db62276
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0274.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0274.pdf,PDF,336955,1488815397,2017-03-06T10:49:57,67c3b8bd75b102f49f5f8c77e836b215,39c94b1593e4d3faa5e65f68b3680b3a7c04a826,2d0798543e759bbfe252c0a227bcfe8774fac1833f5a2030b2338a6ee78add84
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0292.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0292.pdf,PDF,513413,1488815444,2017-03-06T10:50:44,3a39a03c6d8e6fd9b53fd176af40a622,a48488c940b5008a48de4e0b1056b696a27debdd,08e9b3d056241fbebefc3b516364a8f11534910a1096f99ee097ffafa5330efe
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0286.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0286.pdf,PDF,467036,1488815430,2017-03-06T10:50:30,70e2fb0ac02dda394b5dafcd4ec466c3,d2321c978bc2cd00d995cb02cca8634c9fdae4b1,1fd75773a5cfd6d782309cace8760eff0aa695945e939f09f835d0f61437a64e
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0279.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0279.pdf,PDF,613935,1488815413,2017-03-06T10:50:13,2f88344a9f7f511ced2726b1334fc85c,acb21db6bed813a9496324300363085bb13cbae2,442814ad15b0e3b58688bd9f3bafa09829b43400fc2adec5e306222db8326b6f
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0251.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0251.pdf,PDF,631496,1488815346,2017-03-06T10:49:06,a4d7f96269d792842af21d10973a041c,82daf788858a580f7f71759ce4351485259e2bf1,fc2fbde6e45e1df805f3f7bbc56eb45d5eee2ee5997b9f93efe53cf01ec34ab2
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0245.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0245.pdf,PDF,416384,1488815329,2017-03-06T10:48:49,e6452640150be1c7c1a1a2a5dab16159,102fa63c75292d0fd8d2f2be8015418139421010,f9e0fd68953330467a690dff5a8e034b3cbf2389aee8a5e643336edb11909307
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0244.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0244.pdf,PDF,603371,1488815325,2017-03-06T10:48:45,50df3b99ec4695985b64451563a9a91f,368f5cf334a3e87455d6dbee747fd82cdcb4ecb7,87be5678652c32c140819bb43f025a587df71dcb3e92fbcd195d2b1396b9388f
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0250.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0250.pdf,PDF,310798,1488815343,2017-03-06T10:49:03,95c4453d522b141ebd2d9b4307f45a7b,503e0ec47d33443f828eaad956664761f9b2eb76,09274b28314388c8cdfcdd5112754513b1ed25241612ba5fc97e3f19216a1c39
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0278.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0278.pdf,PDF,291775,1488815410,2017-03-06T10:50:10,74556cc72bc8d8b8a84ab19a8e3992cc,90025a1b8f307dc0e9b36d87a58abd16b258bf84,23285e9cb8e4ab19d91d3d17a732537ce04d72d5b9c95242271bc16caca5f983
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0287.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0287.pdf,PDF,450094,1488815432,2017-03-06T10:50:32,8a18e6366acfbcc367082c2b79c1eaf6,c24fa039b7260b099783399230f284f705ec53fc,0aa2c1c471fbf1fb91b03e79724d7f9ac03cc8637bb99bb1bb62cf4e480611d2
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0293.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0293.pdf,PDF,336968,1488815446,2017-03-06T10:50:46,9f0d2276f6776fe56b8d9de421185edd,1418494b89e3bce9bb8d496191815a73cd6ffc48,6c97ef2e074f8be4651645d0febb5c344cd59e4e0a3588eed929e6e01172adfd
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0285.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0285.pdf,PDF,535386,1488815426,2017-03-06T10:50:26,d46b3d5ac5b7076dfdf551bafd163e4c,e10b697dd580dab2bbe5d00acca6e0d10a71384b,0a3d45f859f599788dc0b52b330610ad51669cfd9b55e8afd8af2a189258231e
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0291.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0291.pdf,PDF,336560,1488815440,2017-03-06T10:50:40,706619bbb596a2c165f6eb18383befad,45ff48a13b7fce99c270c54dc6208289bf19883a,d068921e10dc4ef088a8cd7ca52cb1b8990882a8118f81dda3e05d96644fcde0
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0246.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0246.pdf,PDF,455754,1488815332,2017-03-06T10:48:52,55f11dd1e02f0c17f7fb959734315511,e2f6eff1e2966cd2d87c2f240870316c1a0c9d29,27e97b2148f798098be004b572e283b9eeba2c5e0097b47fa6cf5e5001c259df
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0252.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0252.pdf,PDF,468573,1488815349,2017-03-06T10:49:09,4dda558e78069caa02a1068a80c0f7a7,0eef304e422b9cc2437a289ece60d0b9b9c1d145,580651369f18745c8da297d11f94938a3636e9ba171102f90d3efc761862c81e
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0253.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0253.pdf,PDF,590047,1488815351,2017-03-06T10:49:11,953e43c895c16cfcbd2eab50a6f3ea0f,88fa69ed650fe8ac596ff64de12b60f1ddc97549,cc9598f940b5578d37db5b609b76cd27fdb5075c8027fee30426e8e4e969caa8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0247.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0247.pdf,PDF,492453,1488815333,2017-03-06T10:48:53,8238c0709b6a7dd7dc5bcf0cbe66f3a8,5ca94eeb61c33f65b863d9bd63f400409d71eb52,bc19a7209e21231456f43a849cf5acb00758aed7f46721dbfca58e6732dfcd91
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0290.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0290.pdf,PDF,352817,1488815438,2017-03-06T10:50:38,2cea22b1516a4680f2da00628b0d7fba,f34a2b36af8916e050d87c4a8f0ad354a10dbe27,6ef0f8dbb665666114c7aa3b349e854f8dfe48169727c73b3fefda34b80ff82c
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0284.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0284.pdf,PDF,629496,1488815422,2017-03-06T10:50:22,58c3adc519b6d5c2619e378c6481680b,dceee16ba1b7cb2a12510be047a2fab307e4f2c6,d990459f6d372f937ea74a9c02647a71825cc8d5ef6ffe75dad9b58768c1d0d0
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0280.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0280.pdf,PDF,449339,1488815414,2017-03-06T10:50:14,cbf13d2eb989c7746251e7e494c2c138,f045452aa435b29f6510b71a66d1ddf7101606df,e888538d4dba21b5de4652094e81a9090c236858c1e6d833a6b31fe9d2fd9332
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0294.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0294.pdf,PDF,550461,1488815447,2017-03-06T10:50:47,80fc92c9074dc1b6fd71581ac8cafd0f,b00e1c9e22def96f52670d225649ffbe8c64f0a7,d05e1d8e6b744e5a7d740e3117be1b05705e61865ce67d4db7ee457bb5b368c8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0243.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0243.pdf,PDF,608478,1488815323,2017-03-06T10:48:43,b6320ca6ef9c9ade01fdb0a28857ef44,3971c36681648ec596b2043bc8ab9ccf728b3be1,c84eea280f325848849392db33661785dd7523d546a2ce5140adb0a8d9aa09a3
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0257.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0257.pdf,PDF,431889,1488815356,2017-03-06T10:49:16,c1254900e09e3b03be9c0baa79bc62ba,54ce6aec011286ee7bfaf7786ee56f046cfa9339,2a47635b2eb00c3de846f67456b5c575d45947d6e5ffd6f3818693ca8c30c533
